,animal,correct,group,valid,trial,trial_type
56,1.0,1.0,control,True,56.0,training
57,1.0,1.0,control,True,57.0,training
58,1.0,1.0,control,True,58.0,training
59,1.0,1.0,control,True,59.0,training
60,1.0,1.0,control,True,60.0,training
61,1.0,1.0,control,True,61.0,training
62,1.0,1.0,control,True,62.0,training
63,1.0,1.0,control,True,63.0,training
64,1.0,0.0,control,True,64.0,training
65,1.0,1.0,control,True,65.0,training
66,1.0,1.0,control,True,66.0,training
67,1.0,1.0,control,True,67.0,training
68,1.0,1.0,control,True,68.0,training
69,1.0,1.0,control,True,69.0,training
70,1.0,1.0,control,True,70.0,training
71,1.0,1.0,control,True,71.0,training
72,1.0,1.0,control,True,72.0,training
73,1.0,0.0,control,True,73.0,training
74,1.0,1.0,control,True,74.0,training
75,1.0,1.0,control,True,75.0,training
76,1.0,1.0,control,True,76.0,training
77,1.0,1.0,control,True,77.0,training
78,1.0,1.0,control,True,78.0,training
79,1.0,0.0,control,True,79.0,training
80,1.0,1.0,control,True,80.0,training
81,1.0,0.0,control,True,81.0,training
82,1.0,1.0,control,True,82.0,training
83,1.0,1.0,control,True,83.0,training
84,1.0,1.0,control,True,84.0,training
85,1.0,1.0,control,True,85.0,training
86,1.0,1.0,control,True,86.0,training
87,1.0,1.0,control,True,87.0,training
88,1.0,1.0,control,True,88.0,training
89,1.0,1.0,control,True,89.0,training
90,1.0,1.0,control,True,90.0,training
91,1.0,1.0,control,True,91.0,training
92,1.0,1.0,control,True,92.0,training
93,1.0,1.0,control,True,93.0,training
94,1.0,1.0,control,True,94.0,training
95,1.0,0.0,control,False,95.0,training
96,1.0,0.0,control,False,96.0,training
97,1.0,0.0,control,False,97.0,training
98,1.0,0.0,control,False,98.0,training
99,1.0,0.0,control,False,99.0,training
100,1.0,0.0,control,False,100.0,training
101,1.0,0.0,control,False,101.0,training
102,1.0,0.0,control,False,102.0,training
103,1.0,0.0,control,False,103.0,training
104,1.0,0.0,control,False,104.0,training
105,1.0,1.0,control,True,105.0,late test
106,1.0,1.0,control,True,106.0,late test
107,1.0,1.0,control,True,107.0,late test
108,1.0,0.0,control,True,108.0,late test
109,1.0,1.0,control,True,109.0,late test
110,2.0,0.0,control,True,0.0,training
111,2.0,1.0,control,True,1.0,training
112,2.0,1.0,control,True,2.0,training
113,2.0,0.0,control,True,3.0,training
114,2.0,0.0,control,True,4.0,training
115,2.0,0.0,control,True,5.0,training
116,2.0,0.0,control,True,6.0,training
117,2.0,0.0,control,True,7.0,training
118,2.0,0.0,control,True,8.0,training
119,2.0,1.0,control,True,9.0,training
120,2.0,0.0,control,True,10.0,training
121,2.0,0.0,control,True,11.0,training
122,2.0,0.0,control,True,12.0,training
123,2.0,1.0,control,True,13.0,training
124,2.0,0.0,control,True,14.0,training
125,2.0,1.0,control,True,15.0,training
126,2.0,0.0,control,True,16.0,training
127,2.0,1.0,control,True,17.0,training
128,2.0,1.0,control,True,18.0,training
129,2.0,0.0,control,True,19.0,training
130,2.0,0.0,control,True,20.0,training
131,2.0,0.0,control,True,21.0,training
132,2.0,1.0,control,True,22.0,training
133,2.0,1.0,control,True,23.0,training
134,2.0,0.0,control,True,24.0,training
135,2.0,1.0,control,True,25.0,training
136,2.0,1.0,control,True,26.0,training
137,2.0,0.0,control,True,27.0,training
138,2.0,1.0,control,True,28.0,training
139,2.0,1.0,control,True,29.0,training
140,2.0,1.0,control,True,30.0,training
141,2.0,0.0,control,True,31.0,training
142,2.0,1.0,control,True,32.0,training
143,2.0,1.0,control,True,33.0,training
144,2.0,1.0,control,True,34.0,training
145,2.0,0.0,control,True,35.0,training
146,2.0,1.0,control,True,36.0,training
147,2.0,1.0,control,True,37.0,training
148,2.0,1.0,control,True,38.0,training
149,2.0,1.0,control,True,39.0,training
150,2.0,0.0,control,False,40.0,training
151,2.0,0.0,control,False,41.0,training
152,2.0,0.0,control,False,42.0,training
153,2.0,0.0,control,False,43.0,training
154,2.0,0.0,control,False,44.0,training
155,2.0,0.0,control,False,45.0,training
156,2.0,0.0,control,False,46.0,training
157,2.0,0.0,control,False,47.0,training
158,2.0,0.0,control,False,48.0,training
159,2.0,0.0,control,False,49.0,training
160,2.0,0.0,control,True,50.0,early test
161,2.0,0.0,control,True,51.0,early test
162,2.0,1.0,control,True,52.0,early test
163,2.0,0.0,control,True,53.0,early test
164,2.0,1.0,control,True,54.0,early test
165,2.0,1.0,control,True,55.0,training
166,2.0,1.0,control,True,56.0,training
167,2.0,1.0,control,True,57.0,training
168,2.0,1.0,control,True,58.0,training
169,2.0,1.0,control,True,59.0,training
170,2.0,0.0,control,True,60.0,training
171,2.0,1.0,control,True,61.0,training
172,2.0,1.0,control,True,62.0,training
173,2.0,1.0,control,True,63.0,training
174,2.0,1.0,control,True,64.0,training
175,2.0,1.0,control,True,65.0,training
176,2.0,1.0,control,True,66.0,training
177,2.0,1.0,control,True,67.0,training
178,2.0,1.0,control,True,68.0,training
179,2.0,0.0,control,True,69.0,training
180,2.0,1.0,control,True,70.0,training
181,2.0,1.0,control,True,71.0,training
182,2.0,1.0,control,True,72.0,training
183,2.0,0.0,control,True,73.0,training
184,2.0,1.0,control,True,74.0,training
185,2.0,1.0,control,True,75.0,training
186,2.0,1.0,control,True,76.0,training
187,2.0,1.0,control,True,77.0,training
188,2.0,1.0,control,True,78.0,training
189,2.0,1.0,control,True,79.0,training
190,2.0,0.0,control,True,80.0,training
191,2.0,1.0,control,True,81.0,training
192,2.0,1.0,control,True,82.0,training
193,2.0,1.0,control,True,83.0,training
194,2.0,1.0,control,True,84.0,training
195,2.0,1.0,control,True,85.0,training
196,2.0,1.0,control,True,86.0,training
197,2.0,1.0,control,True,87.0,training
198,2.0,1.0,control,True,88.0,training
199,2.0,1.0,control,True,89.0,training
200,2.0,1.0,control,True,90.0,training
201,2.0,1.0,control,True,91.0,training
202,2.0,1.0,control,True,92.0,training
203,2.0,1.0,control,True,93.0,training
204,2.0,1.0,control,True,94.0,training
205,2.0,0.0,control,False,95.0,training
206,2.0,0.0,control,False,96.0,training
207,2.0,0.0,control,False,97.0,training
208,2.0,0.0,control,False,98.0,training
209,2.0,0.0,control,False,99.0,training
210,2.0,0.0,control,False,100.0,training
211,2.0,0.0,control,False,101.0,training
212,2.0,0.0,control,False,102.0,training
213,2.0,0.0,control,False,103.0,training
214,2.0,0.0,control,False,104.0,training
215,2.0,0.0,control,True,105.0,late test
216,2.0,1.0,control,True,106.0,late test
217,2.0,1.0,control,True,107.0,late test
218,2.0,1.0,control,True,108.0,late test
219,2.0,1.0,control,True,109.0,late test
220,3.0,1.0,control,True,0.0,training
221,3.0,0.0,control,True,1.0,training
222,3.0,0.0,control,True,2.0,training
223,3.0,0.0,control,True,3.0,training
224,3.0,1.0,control,True,4.0,training
225,3.0,0.0,control,True,5.0,training
226,3.0,0.0,control,True,6.0,training
227,3.0,0.0,control,True,7.0,training
228,3.0,1.0,control,True,8.0,training
229,3.0,0.0,control,True,9.0,training
230,3.0,1.0,control,True,10.0,training
231,3.0,0.0,control,True,11.0,training
232,3.0,1.0,control,True,12.0,training
233,3.0,0.0,control,True,13.0,training
234,3.0,0.0,control,True,14.0,training
235,3.0,0.0,control,True,15.0,training
236,3.0,0.0,control,True,16.0,training
237,3.0,0.0,control,True,17.0,training
238,3.0,0.0,control,True,18.0,training
239,3.0,1.0,control,True,19.0,training
240,3.0,1.0,control,True,20.0,training
241,3.0,1.0,control,True,21.0,training
242,3.0,0.0,control,True,22.0,training
243,3.0,1.0,control,True,23.0,training
244,3.0,0.0,control,True,24.0,training
245,3.0,1.0,control,True,25.0,training
246,3.0,0.0,control,True,26.0,training
247,3.0,1.0,control,True,27.0,training
248,3.0,1.0,control,True,28.0,training
249,3.0,0.0,control,True,29.0,training
250,3.0,1.0,control,True,30.0,training
251,3.0,1.0,control,True,31.0,training
252,3.0,1.0,control,True,32.0,training
253,3.0,1.0,control,True,33.0,training
254,3.0,1.0,control,True,34.0,training
255,3.0,0.0,control,True,35.0,training
256,3.0,1.0,control,True,36.0,training
257,3.0,1.0,control,True,37.0,training
258,3.0,1.0,control,True,38.0,training
259,3.0,1.0,control,True,39.0,training
260,3.0,0.0,control,False,40.0,training
261,3.0,0.0,control,False,41.0,training
262,3.0,0.0,control,False,42.0,training
263,3.0,0.0,control,False,43.0,training
264,3.0,0.0,control,False,44.0,training
265,3.0,0.0,control,False,45.0,training
266,3.0,0.0,control,False,46.0,training
267,3.0,0.0,control,False,47.0,training
268,3.0,0.0,control,False,48.0,training
269,3.0,0.0,control,False,49.0,training
270,3.0,1.0,control,True,50.0,early test
271,3.0,0.0,control,True,51.0,early test
272,3.0,0.0,control,True,52.0,early test
273,3.0,0.0,control,True,53.0,early test
274,3.0,0.0,control,True,54.0,early test
275,3.0,1.0,control,True,55.0,training
276,3.0,1.0,control,True,56.0,training
277,3.0,0.0,control,True,57.0,training
278,3.0,1.0,control,True,58.0,training
279,3.0,1.0,control,True,59.0,training
280,3.0,1.0,control,True,60.0,training
281,3.0,1.0,control,True,61.0,training
282,3.0,1.0,control,True,62.0,training
283,3.0,1.0,control,True,63.0,training
284,3.0,1.0,control,True,64.0,training
285,3.0,1.0,control,True,65.0,training
286,3.0,1.0,control,True,66.0,training
287,3.0,1.0,control,True,67.0,training
288,3.0,0.0,control,True,68.0,training
289,3.0,1.0,control,True,69.0,training
290,3.0,1.0,control,True,70.0,training
291,3.0,0.0,control,True,71.0,training
292,3.0,1.0,control,True,72.0,training
293,3.0,1.0,control,True,73.0,training
294,3.0,1.0,control,True,74.0,training
295,3.0,1.0,control,True,75.0,training
296,3.0,1.0,control,True,76.0,training
297,3.0,1.0,control,True,77.0,training
298,3.0,0.0,control,True,78.0,training
299,3.0,1.0,control,True,79.0,training
300,3.0,1.0,control,True,80.0,training
301,3.0,1.0,control,True,81.0,training
302,3.0,1.0,control,True,82.0,training
303,3.0,1.0,control,True,83.0,training
304,3.0,1.0,control,True,84.0,training
305,3.0,1.0,control,True,85.0,training
306,3.0,1.0,control,True,86.0,training
307,3.0,1.0,control,True,87.0,training
308,3.0,1.0,control,True,88.0,training
309,3.0,1.0,control,True,89.0,training
310,3.0,1.0,control,True,90.0,training
311,3.0,1.0,control,True,91.0,training
312,3.0,1.0,control,True,92.0,training
313,3.0,1.0,control,True,93.0,training
314,3.0,1.0,control,True,94.0,training
315,3.0,0.0,control,False,95.0,training
316,3.0,0.0,control,False,96.0,training
317,3.0,0.0,control,False,97.0,training
318,3.0,0.0,control,False,98.0,training
319,3.0,0.0,control,False,99.0,training
320,3.0,0.0,control,False,100.0,training
321,3.0,0.0,control,False,101.0,training
322,3.0,0.0,control,False,102.0,training
323,3.0,0.0,control,False,103.0,training
324,3.0,0.0,control,False,104.0,training
325,3.0,1.0,control,True,105.0,late test
326,3.0,0.0,control,True,106.0,late test
327,3.0,1.0,control,True,107.0,late test
328,3.0,1.0,control,True,108.0,late test
329,3.0,1.0,control,True,109.0,late test
330,4.0,1.0,control,True,0.0,training
331,4.0,1.0,control,True,1.0,training
332,4.0,0.0,control,True,2.0,training
333,4.0,1.0,control,True,3.0,training
334,4.0,0.0,control,True,4.0,training
335,4.0,0.0,control,True,5.0,training
336,4.0,0.0,control,True,6.0,training
337,4.0,1.0,control,True,7.0,training
338,4.0,0.0,control,True,8.0,training
339,4.0,0.0,control,True,9.0,training
340,4.0,1.0,control,True,10.0,training
341,4.0,0.0,control,True,11.0,training
342,4.0,1.0,control,True,12.0,training
343,4.0,1.0,control,True,13.0,training
344,4.0,1.0,control,True,14.0,training
345,4.0,1.0,control,True,15.0,training
346,4.0,1.0,control,True,16.0,training
347,4.0,0.0,control,True,17.0,training
348,4.0,1.0,control,True,18.0,training
349,4.0,0.0,control,True,19.0,training
350,4.0,1.0,control,True,20.0,training
351,4.0,1.0,control,True,21.0,training
352,4.0,1.0,control,True,22.0,training
353,4.0,1.0,control,True,23.0,training
354,4.0,0.0,control,True,24.0,training
355,4.0,1.0,control,True,25.0,training
356,4.0,1.0,control,True,26.0,training
357,4.0,1.0,control,True,27.0,training
358,4.0,1.0,control,True,28.0,training
359,4.0,1.0,control,True,29.0,training
360,4.0,0.0,control,False,30.0,training
361,4.0,0.0,control,False,31.0,training
362,4.0,0.0,control,False,32.0,training
363,4.0,0.0,control,False,33.0,training
364,4.0,0.0,control,False,34.0,training
365,4.0,0.0,control,False,35.0,training
366,4.0,0.0,control,False,36.0,training
367,4.0,0.0,control,False,37.0,training
368,4.0,0.0,control,False,38.0,training
369,4.0,0.0,control,False,39.0,training
370,4.0,0.0,control,False,40.0,training
371,4.0,0.0,control,False,41.0,training
372,4.0,0.0,control,False,42.0,training
373,4.0,0.0,control,False,43.0,training
374,4.0,0.0,control,False,44.0,training
375,4.0,0.0,control,False,45.0,training
376,4.0,0.0,control,False,46.0,training
377,4.0,0.0,control,False,47.0,training
378,4.0,0.0,control,False,48.0,training
379,4.0,0.0,control,False,49.0,training
380,4.0,1.0,control,True,50.0,early test
381,4.0,0.0,control,True,51.0,early test
382,4.0,1.0,control,True,52.0,early test
383,4.0,0.0,control,True,53.0,early test
384,4.0,0.0,control,True,54.0,early test
385,4.0,1.0,control,True,55.0,training
386,4.0,1.0,control,True,56.0,training
387,4.0,1.0,control,True,57.0,training
388,4.0,1.0,control,True,58.0,training
389,4.0,1.0,control,True,59.0,training
390,4.0,1.0,control,True,60.0,training
391,4.0,1.0,control,True,61.0,training
392,4.0,1.0,control,True,62.0,training
393,4.0,1.0,control,True,63.0,training
394,4.0,1.0,control,True,64.0,training
395,4.0,1.0,control,True,65.0,training
396,4.0,1.0,control,True,66.0,training
397,4.0,1.0,control,True,67.0,training
398,4.0,1.0,control,True,68.0,training
399,4.0,1.0,control,True,69.0,training
400,4.0,1.0,control,True,70.0,training
401,4.0,1.0,control,True,71.0,training
402,4.0,1.0,control,True,72.0,training
403,4.0,1.0,control,True,73.0,training
404,4.0,1.0,control,True,74.0,training
405,4.0,1.0,control,True,75.0,training
406,4.0,1.0,control,True,76.0,training
407,4.0,1.0,control,True,77.0,training
408,4.0,1.0,control,True,78.0,training
409,4.0,1.0,control,True,79.0,training
410,4.0,1.0,control,True,80.0,training
411,4.0,1.0,control,True,81.0,training
412,4.0,1.0,control,True,82.0,training
413,4.0,1.0,control,True,83.0,training
414,4.0,1.0,control,True,84.0,training
415,4.0,1.0,control,True,85.0,training
416,4.0,1.0,control,True,86.0,training
417,4.0,1.0,control,True,87.0,training
418,4.0,1.0,control,True,88.0,training
419,4.0,1.0,control,True,89.0,training
420,4.0,1.0,control,True,90.0,training
421,4.0,1.0,control,True,91.0,training
422,4.0,1.0,control,True,92.0,training
423,4.0,1.0,control,True,93.0,training
424,4.0,1.0,control,True,94.0,training
425,4.0,1.0,control,True,95.0,training
426,4.0,1.0,control,True,96.0,training
427,4.0,1.0,control,True,97.0,training
428,4.0,1.0,control,True,98.0,training
429,4.0,1.0,control,True,99.0,training
430,4.0,1.0,control,True,100.0,training
431,4.0,1.0,control,True,101.0,training
432,4.0,1.0,control,True,102.0,training
433,4.0,1.0,control,True,103.0,training
434,4.0,1.0,control,True,104.0,training
435,4.0,1.0,control,True,105.0,late test
436,4.0,0.0,control,True,106.0,late test
437,4.0,0.0,control,True,107.0,late test
438,4.0,0.0,control,True,108.0,late test
439,4.0,1.0,control,True,109.0,late test
440,5.0,0.0,control,True,0.0,training
441,5.0,0.0,control,True,1.0,training
442,5.0,0.0,control,True,2.0,training
443,5.0,0.0,control,True,3.0,training
444,5.0,0.0,control,True,4.0,training
445,5.0,1.0,control,True,5.0,training
446,5.0,0.0,control,True,6.0,training
447,5.0,0.0,control,True,7.0,training
448,5.0,0.0,control,True,8.0,training
449,5.0,0.0,control,True,9.0,training
450,5.0,0.0,control,True,10.0,training
451,5.0,0.0,control,True,11.0,training
452,5.0,0.0,control,True,12.0,training
453,5.0,0.0,control,True,13.0,training
454,5.0,1.0,control,True,14.0,training
455,5.0,1.0,control,True,15.0,training
456,5.0,1.0,control,True,16.0,training
457,5.0,0.0,control,True,17.0,training
458,5.0,0.0,control,True,18.0,training
459,5.0,0.0,control,True,19.0,training
460,5.0,1.0,control,True,20.0,training
461,5.0,1.0,control,True,21.0,training
462,5.0,0.0,control,True,22.0,training
463,5.0,1.0,control,True,23.0,training
464,5.0,0.0,control,True,24.0,training
465,5.0,1.0,control,True,25.0,training
466,5.0,1.0,control,True,26.0,training
467,5.0,0.0,control,True,27.0,training
468,5.0,0.0,control,True,28.0,training
469,5.0,0.0,control,True,29.0,training
470,5.0,1.0,control,True,30.0,training
471,5.0,1.0,control,True,31.0,training
472,5.0,0.0,control,True,32.0,training
473,5.0,1.0,control,True,33.0,training
474,5.0,1.0,control,True,34.0,training
475,5.0,1.0,control,True,35.0,training
476,5.0,1.0,control,True,36.0,training
477,5.0,1.0,control,True,37.0,training
478,5.0,0.0,control,True,38.0,training
479,5.0,1.0,control,True,39.0,training
480,5.0,0.0,control,False,40.0,training
481,5.0,0.0,control,False,41.0,training
482,5.0,0.0,control,False,42.0,training
483,5.0,0.0,control,False,43.0,training
484,5.0,0.0,control,False,44.0,training
485,5.0,0.0,control,False,45.0,training
486,5.0,0.0,control,False,46.0,training
487,5.0,0.0,control,False,47.0,training
488,5.0,0.0,control,False,48.0,training
489,5.0,0.0,control,False,49.0,training
490,5.0,1.0,control,True,50.0,early test
491,5.0,1.0,control,True,51.0,early test
492,5.0,1.0,control,True,52.0,early test
493,5.0,0.0,control,True,53.0,early test
494,5.0,0.0,control,True,54.0,early test
495,5.0,1.0,control,True,55.0,training
496,5.0,0.0,control,True,56.0,training
497,5.0,1.0,control,True,57.0,training
498,5.0,0.0,control,True,58.0,training
499,5.0,1.0,control,True,59.0,training
500,5.0,1.0,control,True,60.0,training
501,5.0,1.0,control,True,61.0,training
502,5.0,1.0,control,True,62.0,training
503,5.0,1.0,control,True,63.0,training
504,5.0,0.0,control,True,64.0,training
505,5.0,1.0,control,True,65.0,training
506,5.0,0.0,control,True,66.0,training
507,5.0,1.0,control,True,67.0,training
508,5.0,1.0,control,True,68.0,training
509,5.0,1.0,control,True,69.0,training
510,5.0,1.0,control,True,70.0,training
511,5.0,0.0,control,True,71.0,training
512,5.0,0.0,control,True,72.0,training
513,5.0,1.0,control,True,73.0,training
514,5.0,1.0,control,True,74.0,training
515,5.0,1.0,control,True,75.0,training
516,5.0,1.0,control,True,76.0,training
517,5.0,1.0,control,True,77.0,training
518,5.0,1.0,control,True,78.0,training
519,5.0,1.0,control,True,79.0,training
520,5.0,1.0,control,True,80.0,training
521,5.0,1.0,control,True,81.0,training
522,5.0,1.0,control,True,82.0,training
523,5.0,1.0,control,True,83.0,training
524,5.0,1.0,control,True,84.0,training
525,5.0,0.0,control,True,85.0,training
526,5.0,1.0,control,True,86.0,training
527,5.0,1.0,control,True,87.0,training
528,5.0,1.0,control,True,88.0,training
529,5.0,1.0,control,True,89.0,training
530,5.0,1.0,control,True,90.0,training
531,5.0,1.0,control,True,91.0,training
532,5.0,1.0,control,True,92.0,training
533,5.0,1.0,control,True,93.0,training
534,5.0,1.0,control,True,94.0,training
535,5.0,0.0,control,False,95.0,training
536,5.0,0.0,control,False,96.0,training
537,5.0,0.0,control,False,97.0,training
538,5.0,0.0,control,False,98.0,training
539,5.0,0.0,control,False,99.0,training
540,5.0,0.0,control,False,100.0,training
541,5.0,0.0,control,False,101.0,training
542,5.0,0.0,control,False,102.0,training
543,5.0,0.0,control,False,103.0,training
544,5.0,0.0,control,False,104.0,training
545,5.0,1.0,control,True,105.0,late test
546,5.0,0.0,control,True,106.0,late test
547,5.0,1.0,control,True,107.0,late test
548,5.0,0.0,control,True,108.0,late test
549,5.0,1.0,control,True,109.0,late test
550,6.0,1.0,control,True,0.0,training
551,6.0,0.0,control,True,1.0,training
552,6.0,1.0,control,True,2.0,training
553,6.0,0.0,control,True,3.0,training
554,6.0,0.0,control,True,4.0,training
555,6.0,0.0,control,True,5.0,training
556,6.0,0.0,control,True,6.0,training
557,6.0,0.0,control,True,7.0,training
558,6.0,0.0,control,True,8.0,training
559,6.0,0.0,control,True,9.0,training
560,6.0,0.0,control,True,10.0,training
561,6.0,0.0,control,True,11.0,training
562,6.0,1.0,control,True,12.0,training
563,6.0,0.0,control,True,13.0,training
564,6.0,0.0,control,True,14.0,training
565,6.0,0.0,control,True,15.0,training
566,6.0,0.0,control,True,16.0,training
567,6.0,0.0,control,True,17.0,training
568,6.0,0.0,control,True,18.0,training
569,6.0,0.0,control,True,19.0,training
570,6.0,0.0,control,True,20.0,training
571,6.0,1.0,control,True,21.0,training
572,6.0,0.0,control,True,22.0,training
573,6.0,0.0,control,True,23.0,training
574,6.0,1.0,control,True,24.0,training
575,6.0,1.0,control,True,25.0,training
576,6.0,1.0,control,True,26.0,training
577,6.0,0.0,control,True,27.0,training
578,6.0,1.0,control,True,28.0,training
579,6.0,0.0,control,True,29.0,training
580,6.0,1.0,control,True,30.0,training
581,6.0,0.0,control,True,31.0,training
582,6.0,1.0,control,True,32.0,training
583,6.0,1.0,control,True,33.0,training
584,6.0,1.0,control,True,34.0,training
585,6.0,1.0,control,True,35.0,training
586,6.0,1.0,control,True,36.0,training
587,6.0,1.0,control,True,37.0,training
588,6.0,1.0,control,True,38.0,training
589,6.0,1.0,control,True,39.0,training
590,6.0,0.0,control,False,40.0,training
591,6.0,0.0,control,False,41.0,training
592,6.0,0.0,control,False,42.0,training
593,6.0,0.0,control,False,43.0,training
594,6.0,0.0,control,False,44.0,training
595,6.0,0.0,control,False,45.0,training
596,6.0,0.0,control,False,46.0,training
597,6.0,0.0,control,False,47.0,training
598,6.0,0.0,control,False,48.0,training
599,6.0,0.0,control,False,49.0,training
600,6.0,1.0,control,True,50.0,early test
601,6.0,1.0,control,True,51.0,early test
602,6.0,0.0,control,True,52.0,early test
603,6.0,0.0,control,True,53.0,early test
604,6.0,0.0,control,True,54.0,early test
605,6.0,0.0,control,True,55.0,training
606,6.0,1.0,control,True,56.0,training
607,6.0,1.0,control,True,57.0,training
608,6.0,1.0,control,True,58.0,training
609,6.0,1.0,control,True,59.0,training
610,6.0,1.0,control,True,60.0,training
611,6.0,1.0,control,True,61.0,training
612,6.0,1.0,control,True,62.0,training
613,6.0,1.0,control,True,63.0,training
614,6.0,1.0,control,True,64.0,training
615,6.0,1.0,control,True,65.0,training
616,6.0,1.0,control,True,66.0,training
617,6.0,1.0,control,True,67.0,training
618,6.0,1.0,control,True,68.0,training
619,6.0,1.0,control,True,69.0,training
620,6.0,0.0,control,True,70.0,training
621,6.0,1.0,control,True,71.0,training
622,6.0,1.0,control,True,72.0,training
623,6.0,1.0,control,True,73.0,training
624,6.0,1.0,control,True,74.0,training
625,6.0,1.0,control,True,75.0,training
626,6.0,1.0,control,True,76.0,training
627,6.0,1.0,control,True,77.0,training
628,6.0,1.0,control,True,78.0,training
629,6.0,1.0,control,True,79.0,training
630,6.0,1.0,control,True,80.0,training
631,6.0,1.0,control,True,81.0,training
632,6.0,0.0,control,True,82.0,training
633,6.0,1.0,control,True,83.0,training
634,6.0,1.0,control,True,84.0,training
635,6.0,1.0,control,True,85.0,training
636,6.0,1.0,control,True,86.0,training
637,6.0,1.0,control,True,87.0,training
638,6.0,1.0,control,True,88.0,training
639,6.0,0.0,control,True,89.0,training
640,6.0,1.0,control,True,90.0,training
641,6.0,1.0,control,True,91.0,training
642,6.0,1.0,control,True,92.0,training
643,6.0,1.0,control,True,93.0,training
644,6.0,1.0,control,True,94.0,training
645,6.0,0.0,control,False,95.0,training
646,6.0,0.0,control,False,96.0,training
647,6.0,0.0,control,False,97.0,training
648,6.0,0.0,control,False,98.0,training
649,6.0,0.0,control,False,99.0,training
650,6.0,0.0,control,False,100.0,training
651,6.0,0.0,control,False,101.0,training
652,6.0,0.0,control,False,102.0,training
653,6.0,0.0,control,False,103.0,training
654,6.0,0.0,control,False,104.0,training
655,6.0,1.0,control,True,105.0,late test
656,6.0,1.0,control,True,106.0,late test
657,6.0,1.0,control,True,107.0,late test
658,6.0,1.0,control,True,108.0,late test
659,6.0,0.0,control,True,109.0,late test
660,7.0,1.0,control,True,0.0,training
661,7.0,0.0,control,True,1.0,training
662,7.0,1.0,control,True,2.0,training
663,7.0,0.0,control,True,3.0,training
664,7.0,0.0,control,True,4.0,training
665,7.0,1.0,control,True,5.0,training
666,7.0,0.0,control,True,6.0,training
667,7.0,0.0,control,True,7.0,training
668,7.0,1.0,control,True,8.0,training
669,7.0,0.0,control,True,9.0,training
670,7.0,1.0,control,True,10.0,training
671,7.0,1.0,control,True,11.0,training
672,7.0,1.0,control,True,12.0,training
673,7.0,1.0,control,True,13.0,training
674,7.0,0.0,control,True,14.0,training
675,7.0,0.0,control,True,15.0,training
676,7.0,1.0,control,True,16.0,training
677,7.0,0.0,control,True,17.0,training
678,7.0,1.0,control,True,18.0,training
679,7.0,1.0,control,True,19.0,training
680,7.0,1.0,control,True,20.0,training
681,7.0,1.0,control,True,21.0,training
682,7.0,0.0,control,True,22.0,training
683,7.0,1.0,control,True,23.0,training
684,7.0,1.0,control,True,24.0,training
685,7.0,1.0,control,True,25.0,training
686,7.0,1.0,control,True,26.0,training
687,7.0,1.0,control,True,27.0,training
688,7.0,1.0,control,True,28.0,training
689,7.0,1.0,control,True,29.0,training
690,7.0,0.0,control,False,30.0,training
691,7.0,0.0,control,False,31.0,training
692,7.0,0.0,control,False,32.0,training
693,7.0,0.0,control,False,33.0,training
694,7.0,0.0,control,False,34.0,training
