,,,,,,,,,,,,,,,,,,,,,
DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,
MEAN,27.5,22.5,35,37.5,54.28571429,70,83.33333333,88.57142857,86.66666667,90,92.5,92.5,85,95,90,95,97.5,,,,
SD,21.21320344,19.82062418,29.76095237,22.51983253,22.25394561,23.90457219,8.164965809,10.69044968,23.09401077,15.11857892,10.35098339,10.35098339,14.14213562,9.258200998,10.69044968,9.258200998,7.071067812,,,,
SEM,7.5,7.007648882,10.52208562,7.961963146,8.411200825,8.451542547,3.333333333,4.040610178,13.33333333,5.345224838,3.659625274,3.659625274,5,3.273268354,3.77964473,3.273268354,2.5,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,
MEAN,31.42857143,25.71428571,48.57142857,52.85714286,62.85714286,80,80,80,91.42857143,93.33333333,85.71428571,91.42857143,94.28571429,97.14285714,100,91.42857143,94.28571429,,,,
SD,25.44836041,22.25394561,22.67786838,31.99702367,24.29971585,17.88854382,24.49489743,16.32993162,10.69044968,10.32795559,15.11857892,10.69044968,9.759000729,7.55928946,0,10.69044968,9.759000729,,,,
SEM,9.618576132,8.411200825,8.571428571,12.09373819,9.184429296,7.302967433,10.95445115,8.164965809,4.040610178,4.216370214,5.714285714,4.040610178,3.688555568,2.857142857,0,4.040610178,3.688555568,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Day 2 090419,,,,,,,,,,,,,,,,,1,,MEAN / Group / Day,"SD ""","SEM """
6,B,B,U,U,U,,,,,,,,,,,,,40,,,
7,L,L,L,L,L,,,,,,,,,,,,,100,,,
8,R,L,R,L,L,,,,,,,,,,,,,60,,,
10,L,L,L,L,L,,,,,,,,,,,,,100,91.42857143,10.69044968,4.040610178
11,L,L,L,R,L,,,,,,,,,,,,,80,,,
12,L,R,L,L,L,,,,,,,,,,,,,80,,,
13,L,L,L,L,L,,,,,,,,,,,,,100,,,
14,L,L,L,L,L,,,,,,,,,,,,,100,,,
15,L,L,L,L,L,,,,,,,,,,,,,100,,,
16,L,L,L,R,L,,,,,,,,,,,,,80,,,
Day 11 240419,,,,,,,,,,,,,,,,,,,,,
1,L,L,L,L,L,,,,,,,,,,,,10,100,90,15.11857892,5.345224838
2,L,L,L,L,L,,,,,,,,,,,,,100,,,
3,L,L,R,L,L,,,,,,,,,,,,,80,,,
4,L,L,L,L,L,,,,,,,,,,,,,100,,,
5,L,R,L,R,L,,,,,,,,,,,,,60,,,
6,R,L,L,L,L,,,,,,,,,,,,,80,,,
7,L,L,L,L,L,,,,,,,,,,,,,100,,,
8,L,L,L,L,L,,,,,,,,,,,,,100,,,
10,L,R,L,L,L,,,,,,,,,,,,,80,93.33333333,10.32795559,4.216370214
11,L,L,L,L,L,,,,,,,,,,,,,100,,,
12,L,L,L,L,L,,,,,,,,,,,,,100,,,
13,L,L,L,L,L,,,,,,,,,,,,,100,,,
14,L,L,L,L,L,,,,,,,,,,,,,100,,,
15,L,R,L,L,L,,,,,,,,,,,,,80,,,
16,U,B,U,B,B,,,,,,,,,,,,,60,,,
Day 12 250419,,,,,,,,,,,,,,,,,,,,,
1,L,L,L,L,R,,,,,,,,,,,,11,80,92.5,10.35098339,3.659625274
2,R,L,L,L,L,,,,,,,,,,,,,80,,,
3,L,L,L,L,L,,,,,,,,,,,,,100,,,
4,L,L,L,L,L,,,,,,,,,,,,,100,,,
