,animal,correct,group,valid,trial,trial_type,training_type,detailed_trial_type
254,45.0,1.0,control,True,94.0,training,late training,late training
255,45.0,0.0,control,True,95.0,training,late training,late training
256,45.0,1.0,control,True,96.0,training,late training,late training
257,45.0,1.0,control,True,97.0,training,late training,late training
258,45.0,1.0,control,True,98.0,training,late training,late training
259,45.0,1.0,control,True,99.0,training,late training,late training
260,45.0,0.0,control,True,100.0,training,late training,late training
261,45.0,1.0,control,True,101.0,training,late training,late training
262,45.0,1.0,control,True,102.0,training,late training,late training
263,45.0,1.0,control,True,103.0,training,late training,late training
264,45.0,1.0,control,True,104.0,training,late training,late training
265,45.0,1.0,control,True,105.0,training,late training,late training
266,45.0,1.0,control,True,106.0,training,late training,late training
267,45.0,1.0,control,True,107.0,training,late training,late training
268,45.0,1.0,control,True,108.0,training,late training,late training
269,45.0,1.0,control,True,109.0,training,late training,late training
270,45.0,1.0,control,True,110.0,training,late training,late training
271,45.0,1.0,control,True,111.0,training,late training,late training
272,45.0,1.0,control,True,112.0,training,late training,late training
273,45.0,1.0,control,True,113.0,training,late training,late training
274,45.0,1.0,control,True,114.0,training,late training,late training
275,45.0,1.0,control,True,115.0,training,late training,late training
276,45.0,1.0,control,True,116.0,training,late training,late training
277,45.0,1.0,control,True,117.0,training,late training,late training
278,45.0,1.0,control,True,118.0,training,late training,late training
279,45.0,1.0,control,True,119.0,training,late training,late training
280,45.0,1.0,control,True,120.0,training,late training,late training
281,45.0,1.0,control,True,121.0,training,late training,late training
282,45.0,1.0,control,True,122.0,training,late training,late training
283,45.0,1.0,control,True,123.0,training,late training,late training
284,45.0,1.0,control,True,124.0,training,late training,late training
285,45.0,1.0,control,True,125.0,training,late training,late training
286,45.0,1.0,control,True,126.0,training,late training,late training
287,45.0,1.0,control,True,127.0,training,late training,late training
288,45.0,1.0,control,True,128.0,training,late training,late training
289,45.0,1.0,control,True,129.0,training,late training,late training
290,45.0,0.0,control,False,130.0,training,late training,late training
291,45.0,0.0,control,False,131.0,training,late training,late training
292,45.0,0.0,control,False,132.0,training,late training,late training
293,45.0,0.0,control,False,133.0,training,late training,late training
294,45.0,0.0,control,False,134.0,training,late training,late training
295,45.0,0.0,control,False,135.0,training,late training,late training
296,45.0,0.0,control,False,136.0,training,late training,late training
297,45.0,0.0,control,False,137.0,training,late training,late training
298,45.0,0.0,control,False,138.0,training,late training,late training
299,45.0,0.0,control,False,139.0,training,late training,late training
300,45.0,0.0,control,False,140.0,training,late training,late training
301,45.0,0.0,control,False,141.0,training,late training,late training
302,45.0,0.0,control,False,142.0,training,late training,late training
303,45.0,0.0,control,False,143.0,training,late training,late training
304,45.0,0.0,control,False,144.0,training,late training,late training
305,45.0,0.0,control,False,145.0,training,late training,late training
306,45.0,0.0,control,False,146.0,training,late training,late training
307,45.0,0.0,control,False,147.0,training,late training,late training
308,45.0,0.0,control,False,148.0,training,late training,late training
309,45.0,0.0,control,False,149.0,training,late training,late training
310,45.0,0.0,control,False,150.0,training,late training,late training
311,45.0,0.0,control,False,151.0,training,late training,late training
312,45.0,0.0,control,False,152.0,training,late training,late training
313,45.0,0.0,control,False,153.0,training,late training,late training
314,45.0,0.0,control,False,154.0,training,late training,late training
315,45.0,1.0,control,True,155.0,late test,test,late test
316,45.0,1.0,control,True,156.0,late test,test,late test
317,45.0,1.0,control,True,157.0,late test,test,late test
318,45.0,1.0,control,True,158.0,late test,test,late test
319,45.0,1.0,control,True,159.0,late test,test,late test
320,46.0,1.0,control,True,0.0,training,early training,early training
321,46.0,0.0,control,True,1.0,training,early training,early training
322,46.0,1.0,control,True,2.0,training,early training,early training
323,46.0,1.0,control,True,3.0,training,early training,early training
324,46.0,1.0,control,True,4.0,training,early training,early training
325,46.0,0.0,control,True,5.0,training,early training,early training
326,46.0,0.0,control,True,6.0,training,early training,early training
327,46.0,0.0,control,True,7.0,training,early training,early training
328,46.0,1.0,control,True,8.0,training,early training,early training
329,46.0,1.0,control,True,9.0,training,early training,early training
330,46.0,0.0,control,True,10.0,training,early training,early training
331,46.0,0.0,control,True,11.0,training,early training,early training
332,46.0,0.0,control,True,12.0,training,early training,early training
333,46.0,0.0,control,True,13.0,training,early training,early training
334,46.0,1.0,control,True,14.0,training,early training,early training
335,46.0,0.0,control,True,15.0,training,early training,early training
336,46.0,0.0,control,True,16.0,training,early training,early training
337,46.0,1.0,control,True,17.0,training,early training,early training
338,46.0,1.0,control,True,18.0,training,early training,early training
339,46.0,1.0,control,True,19.0,training,early training,early training
340,46.0,0.0,control,True,20.0,training,early training,early training
341,46.0,0.0,control,True,21.0,training,early training,early training
342,46.0,0.0,control,True,22.0,training,early training,early training
343,46.0,1.0,control,True,23.0,training,early training,early training
344,46.0,1.0,control,True,24.0,training,early training,early training
345,46.0,0.0,control,True,25.0,training,early training,early training
346,46.0,1.0,control,True,26.0,training,early training,early training
347,46.0,1.0,control,True,27.0,training,early training,early training
348,46.0,1.0,control,True,28.0,training,early training,early training
349,46.0,1.0,control,True,29.0,training,early training,early training
350,46.0,0.0,control,True,30.0,training,early training,early training
351,46.0,1.0,control,True,31.0,training,early training,early training
352,46.0,1.0,control,True,32.0,training,early training,early training
353,46.0,1.0,control,True,33.0,training,early training,early training
354,46.0,1.0,control,True,34.0,training,early training,early training
355,46.0,0.0,control,False,35.0,training,early training,early training
356,46.0,0.0,control,False,36.0,training,early training,early training
357,46.0,0.0,control,False,37.0,training,early training,early training
358,46.0,0.0,control,False,38.0,training,early training,early training
359,46.0,0.0,control,False,39.0,training,early training,early training
360,46.0,0.0,control,False,40.0,training,early training,early training
361,46.0,0.0,control,False,41.0,training,early training,early training
362,46.0,0.0,control,False,42.0,training,early training,early training
